Router Name,Country Code,Bandwidth (KB/s),Uptime (Days),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit
0000000000myTOR,DE,40,0,46.228.207.172,46.228.207.172,443,None,0,0,1,0,0,0,1,1,0,Tor 0.2.4.0-alpha-dev on Linux,0,0
000000superAIDS,RU,27,1,46.17.96.44,sr5-43.hostkey.ru,9001,None,0,1,1,0,0,0,1,1,0,Tor 0.2.2.35 (git-4f42b0a93422f70e) on Linux x86_64,0,0
0000WVMiddleman,US,6,9,65.199.52.129,65.199.52.129,9029,9030,0,0,1,0,1,1,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows XP Service Pack 3 [workstation],0,0
000V000,NL,9,0,195.241.178.245,195-241-178-245.ip.telfort.nl,6881,9030,0,0,1,0,1,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7  [workstation],0,0
00TorFofo,FR,1839,1,77.207.111.206,206.111.207.77.rev.sfr.net,9001,9030,0,1,1,1,1,1,1,1,1,Tor 0.2.2.37 (git-e57e8eb4c56348eb) on Linux i686,0,0
01234567899999,US,15,0,71.36.185.189,71-36-185-189.phnx.qwest.net,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.37 (git-fce6eb1c44e87bc2) on Windows 8  [workstation],0,0
0be1can0be,RU,118,56,89.221.207.28,89.221.207.28,9911,9111,0,1,1,1,1,1,1,1,1,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux i686,0,0
0belix2,CH,10,0,80.254.163.43,zux163-043.adsl.green.ch,9001,9030,0,1,1,0,1,0,1,1,1,Tor 0.2.3.18-rc on Linux,0,0
0nameGbg,SE,23,1,46.59.8.56,h-8-56.a328.priv.bahnhof.se,9001,9030,0,1,1,1,1,1,1,1,1,Tor 0.2.3.18-rc on Linux,0,0
0nionous,US,147,8,67.255.23.219,cpe-67-255-23-219.twcny.res.rr.com,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.2.37 (git-fce6eb1c44e87bc2) on Darwin i386,0,0
0TorForBeginners,DE,4273,139,85.25.145.98,golf760.server4you.de,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Linux x86_64,0,0
0x000f,FR,348,2,94.23.34.155,ks369962.kimsufi.com,9001,None,0,0,1,1,0,1,1,1,0,Tor 0.2.3.17-beta on Linux,0,0
0x00c0ffee,LU,30,57,94.242.208.105,0x00c0ffee.org,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on FreeBSD amd64,0,0
0x3d,LU,37,8,85.93.202.60,vodsl-9020.vo.lu,9001,9030,0,1,1,1,1,1,1,1,1,Tor 0.2.2.37 (git-fce6eb1c44e87bc2) on Linux i686,0,0
0x42FF,DE,2735,50,188.40.166.29,ghostshell.subsignal.org,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux i686,0,0
0x640x6B,DK,32,4,93.90.115.169,vps-93-90-115-169.vpsforce.eu,9001,None,0,1,1,1,0,0,1,1,0,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux x86_64,0,0
0xABCD,SG,86,16,120.50.40.184,184.40.50.120.static.idc.qala.com.sg,9001,None,0,1,1,1,1,1,1,1,0,Tor 0.2.3.16-alpha on Linux,0,0
0xBlackBelt2012,GB,0,0,80.3.190.192,cpc2-sotn8-2-0-cust191.15-1.cable.virginmedia.com,9443,None,0,0,1,0,0,0,1,1,0,Tor 0.2.3.17-beta on Windows XP,0,0
0xBlackBelt2012,GB,0,0,78.151.143.85,host-78-151-143-85.as13285.net,9443,None,0,0,1,0,0,0,1,1,0,Tor 0.2.3.17-beta on Windows XP,0,0
0xCAFEBABE,NL,7,6,81.71.202.154,s5147ca9a.adsl.wanadoo.nl,443,25,0,0,1,0,1,1,1,1,1,Tor 0.2.3.17-beta on Linux,0,0
0xfw,AT,113,16,81.10.154.38,cpe154-static-38.liwest.at,9913,None,0,1,1,1,1,1,1,1,0,Tor 0.2.2.37 (git-e57e8eb4c56348eb) on Linux i686,0,0
0xHugin,DE,38,3,84.168.245.169,p54A8F5A9.dip.t-dialin.net,9001,9030,0,0,1,0,1,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [domain controller],0,0
111111,RU,0,0,178.170.144.91,vdscom-2017.globatel.ru,80,None,0,1,1,0,1,0,1,1,0,Tor 0.2.2.34 (git-c4eae752f0d157ce) on Linux i686,0,0
112358,US,18,17,173.8.148.157,173-8-148-157-SFBA.hfc.comcastbusiness.net,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.2.35 (git-4f42b0a93422f70e) on Linux armv5tel,0,0
17tre,FR,3,1,91.91.228.79,79.228.91.91.rev.sfr.net,8080,None,0,0,1,0,1,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
1969InTheSunshine,GB,73,0,109.74.203.13,li150-13.members.linode.com,9001,None,0,0,1,0,1,0,1,1,0,Tor 0.2.3.17-beta on Linux,0,0
1d1dnt3d1th3c0nf1g,NL,0,21,80.101.128.228,pindarots.xs4all.nl,9001,None,0,0,0,0,1,1,1,1,0,Tor 0.2.3.15-alpha (git-2513a3e959b61612) on Linux i686,0,0
1Gbps,NL,161,4,85.17.26.47,1GBiT.100tbh.com,25565,7777,0,0,1,0,0,0,1,1,1,Tor 0.2.2.37 (git-fce6eb1c44e87bc2) on Windows 7 Service Pack 1 [server],0,0
1IcbYaIK,JP,23,14,106.187.38.84,one.6hero.com,9001,None,0,1,1,0,1,1,1,1,0,Tor 0.2.2.37 (git-e57e8eb4c56348eb) on Linux x86_64,0,0
1ngenious,US,29,11,216.59.3.55,paolucci.ca,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.2.35 (git-4f42b0a93422f70e) on Linux x86_64,0,0
1q84,RU,37,146,141.105.66.130,sr7-639.hostkey.ru,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.2.35 (git-d6d99b9f41b8e8c9) on Linux i686,0,0
222222222222,US,14,1,174.107.106.64,cpe-174-107-106-064.sc.res.rr.com,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.37 (git-fce6eb1c44e87bc2) on Windows 7 Service Pack 1 [workstation],0,0
24thDegree,US,183,13,184.105.237.85,tor.phjeer.us,9001,9030,0,1,1,1,1,1,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on FreeBSD amd64,0,0
29b4c2980ad11,FR,6,0,82.230.17.116,korsani.fr,9001,None,0,1,0,0,1,1,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on OpenBSD i386,0,0
31173Services,SE,1021,61,193.138.216.101,tor-proxy.vm.31173.se,9001,9030,0,1,1,1,1,1,1,1,1,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux i686,0,0
3cce3a91f6a625,NL,6201,2,145.53.65.130,ip91354182.speed.planet.nl,443,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.2.37 (git-fce6eb1c44e87bc2) on Linux x86_64,0,0
3x0rcyst5p4dd3dc311,US,78,488,208.43.127.247,tor.exploits.com,9001,None,0,0,1,0,1,1,1,1,0,Tor 0.2.1.30 on Linux x86_64,0,0
40,UA,0,0,95.69.152.182,customer-95-69-152-182.airbites.kh.ua,443,9030,0,0,1,0,1,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
404server,JP,39,0,211.134.7.229,O007229.ppp.dion.ne.jp,8080,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.37 (git-fce6eb1c44e87bc2) on Windows XP Service Pack 3 [workstation],0,0
4144414D,GB,51,2,80.6.232.240,cpc7-brig16-2-0-cust239.3-3.cable.virginmedia.com,1337,1338,0,0,1,0,1,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7  [workstation],0,0
42dhtUfler0,RU,6,0,62.109.30.17,cuda.am-1.org,9001,None,0,0,1,0,1,0,1,1,0,Tor 0.2.2.35 (git-4f42b0a93422f70e) on Linux i686,0,0
42ragnar23,DE,0,0,84.137.246.249,p5489F6F9.dip.t-dialin.net,9001,None,0,0,0,0,1,0,1,1,0,Tor 0.2.2.35 (git-4f42b0a93422f70e) on Linux x86_64,0,0
44adafb5,US,3,24,66.250.216.134,66.250.216.134,9001,None,0,0,1,0,1,1,1,1,0,Tor 0.2.3.16-alpha on FreeBSD,0,0
456,GB,9,9,195.137.110.156,i-195-137-110-156.freedom2surf.net,9001,9030,0,0,1,0,1,1,1,1,1,Tor 0.2.2.37 (git-fce6eb1c44e87bc2) on Linux i686,0,0
481517scc,GB,0,17,148.88.226.231,ind022000029.lancs.ac.uk,9001,None,0,0,0,0,1,1,1,1,0,Tor 0.2.2.36 (git-c1414cf70cbfcbb7) on Linux x86_64,0,0
482n6TyvzBTW,DE,4,311,85.214.101.91,85.214.101.91,8043,None,0,0,1,0,1,1,1,1,0,Tor 0.2.1.30 on Linux i686,0,0
4chan,FR,255,9,37.59.16.203,ns231408.ovh.net,443,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [server],0,0
4U2Guess,US,4,4,108.214.62.210,108-214-62-210.lightspeed.cicril.sbcglobal.net,9001,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.3.15-alpha (git-2513a3e959b61612) on Windows 7 Service Pack 1 [workstation],0,0
